Code,LevelFa,yoe
1,دوره سوادآموزی بدون ذکرپایه ونامشخص بودن وضع گواهینامه,3
2,مقدماتی نهضت,1
3,تکمیلی نهضت,3
4,پایانی نهضت,5
5,پنجم بزرگسالان نهضت,5
6,نهضت فارغ التحصیل,5
10,دوره ابتدایی بدون ذکرکلاس,3
11,اول ابتدایی,1
12,دوم ابتدایی,2
13,سوم ابتدایی,3
14,چهارم ابتدایی,4
15,پنجم ابتدایی,5
16,ششم ابتدایی,6
21,اول راهنمایی,6
22,دوم راهنمایی,7
23,سوم راهنمایی,8
24,دوره راهنمایی بدون ذکرکلاس,7
25,اول متوسطه قدیم (کلاس هفتم) فارغ التحصیل,7
26,سوم متوسطه قدیم (کلاس نهم) مدرک سیکل اول متوسطه نظام قدیم فارغ التحصیل,9
27,دوره اول متوسطه قدیم وفنی وحرفه ای مقدماتی بدون ذکرکلاس فارغ التحصیل,9
30,دوره متوسطه بدون ذکرنظام,10
31,دوره متوسطه فعلی بدون ذکرشاخه,10
32,متوسطه فعلی نظری,12
34,متوسطه فعلی فنی و حرفه ای,12
35,دیپلم متوسطه فعلی فنی و حرفه ای فارغ التحصیل,12
38,دهم,10
39,دیپلم متوسطه قدیم فارغ التحصیل,12
40,دوره متوسطه جدیدبدون ذکرشاخه,10
41,اول متوسطه جدیدعمومی (اول دبیرستان نظام جدید، اول متوسطه جدیدنظری ، اول متوسطه جدیدفنی وحرفه ای ، اول متوسطه جدیدک,9
42,متوسطه جدیدنظری درحال تحصیل,10
43,دیپلم متوسطه جدید نظری فارغ التحصیل,11
44,متوسطه جدیدفنی وحرفه ای درحال تحصیل,11
45,دیپلم متوسطه جدیدفنی وحرفه ای فارغ التحصیل,11
46,متوسطه جدیدکاردانش درحال تحصیل,11
47,دیپلم متوسطه جدیدکاردانش فارغ التحصیل,11
48,دوره پیش دانشگاهی درحال تحصیل,11
49,مدرک دوره پیش دانشگاهی فارغ التحصیل,12
51,سال اول کاردانی ، سال دوم کاردانی درحال تحصیل,13
52,دارای مدرک کاردانی فارغ التحصیل,14
61,دوره کارشناسی -سال اول ، دوم ، سوم وچهارم درحال تحصیل,14
62,دارای مدرک کارشناسی فارغ التحصیل,16
71,دوره کارشناسی ارشد، سال اول ودوم درحال تحصیل,17
72,دارای مدرک کارشناسی ارشد فارغ التحصیل,18
73,دارای مدرک مهندسی (درصورتی که کدهای 62و72به آن تعلق نگیرد) فارغ التحصیل,16
75,دوره دکترا درحال تحصیل,20
76,دوره دکتراومدرک آن فارغ التحصیل,22
77,دوره فوق دکترا درحال تحصیل,23
78,دوره فوق دکتراومدرک آن فارغ التحصیل,24
81,دوره مقدماتی (اهل تشیع),8
82,دوره سطح (اهل تشیع),14
83,دوره خارج (اهل تشیع),18
85,دوره علوم دینی اهل تسنن,12
86,دوره علوم دینی سایرمذاهب وفرق اسلامی,12
87,دوره علوم دینی سایرادیان,12
89,دوره علوم دینی نامشخص,12
91,تحصیلات غیررسمی فارغ التحصیل,6
92,دوره تحصیلات نامشخص,6
93,دوره تحصیلی اظهارنشده,6
94,تحصیلات دانشگاهی بدون ذکردوره,14
