Code,LevelFa,LevelEn,yoe
1,مهد کودک,Kindergarten,0
2,پیش‌دبستانی,Preschool,0
100,ابتدایی‌ پایه‌ نامشخص,Elementary Unknown,3
101,اول ابتدایی,Elementary One,1
102,دوم ابتدایی,Elementary Two,2
103,سوم ابتدایی,Elementary Three,3
104,چهارم ابتدایی,Elementary Four,4
105,پنجم ابتدایی,Elementary Five,5
106,ششم ابتدایی,Elementary Six,6
107,نهضت سوادآموزی,Nehzat,5
108,پنجم ابتدایی بزرگسالان,Adults Five,5
109,ابتدایی,Elementary Five,5
210,راهنمایی,Guidance,8
211,اول راهنمایی,Guidance One,6
212,دوم راهنمایی,Guidance Two,7
213,سوم راهنمایی,Guidance Three,8
214,پایان راهنمایی,Guidance End,8
215,هفتم و هشتم قدیم,Old Seven & Eight,8
216,سیکل قدیم,Cycle,9
217,تربیت معلم روستایی,Rural Teacher Training,9
220,دانشسرای عشایری,DA,7
221,اول و دوم دانشسرای کشاورزی,DK 1 2,7
222,سوم دانشسرای کشاورزی,DK 3,8
230,,U,8
231,,U7,7
232,,U8,8
233,,U9,9
234,,U9,9
300,متوسطه,High,11
301,دیپلم واحدی,Diploma 3y,11
302,دیپلم ۴ ساله,Diploma 4y,12
303,دیپلم ۶ ساله,Diploma 6y,12
310,مقدماتی علوم دینی تشیع,Primary Shia,9
311,اول دبیرستان,High 1,9
312,دوم دبیرستان,High 2,10
313,سوم دبیرستان,High 3,11
314,پیش‌دانشگاهی,Pre-university,12
315,فارغ‌التحصیل پیش‌دانشگاهی,School Grad,12
316,اول متوسطه نظری,High 1,9
317,دیپلم متوسطه نظری,Diploma 4y,12
318,دهم و یازدهم قدیم,Eleventh,11
319,دیپلم نظری ۶ ساله,Diploma 6y,12
31A,دیپلم نظری واحدی,Diploma 3y,11
31C,دوم نظری,High 2,10
31D,سوم نظری,High 3,11
31G,متوسطه نظری,High,11
321,دوم و سوم فنی و حرفه‌ای,High,10
322,دیپلم فنی و حرفه‌ای,Diploma 3y,11
323,دوم و سوم کار و دانش,High,10
324,دیپلم کار و دانش,Diploma 3y,11
325,اول هنرستان ۴ ساله,High 1,9
326,دیپلم هنرستان ۴ ساله,Diploma 4y,12
327,دهم و یازدهم هنرستان,High,11
328,دیپلم دانشسرای کشاورزی,Diploma 4y,12
32A,فنی و حرفه‌ای / کار و دانش,,11
32C,دوم هنرستان,,10
32D,سوم هنرستان,,11
32G,هنرستان,,12
340,دبیرستان,H,10
341,اول دبیرستان,H1,7
342,دوم دبیرستان,H2,8
343,سوم دبیرستان,H3,9
344,چهارم دبیرستان,H4,10
345,پنجم دبیرستان,H5,11
346,ششم دبیرستان,H6,12
352,,,10
353,,,11
354,,,12
362,,,10
363,,,11
364,,,12
510,سطح دوم علوم دینی تشیع,,14
511,دانشجوی کارشناسی,,14
512,کارشناسی,,16
513,دانشجوی کارشناسی ارشد,,17
514,کارشناسی ارشد,,18
515,سطح سوم علوم دینی تشیع,,18
516,دانشجوی دکتری حرفه‌ای,,15
517,دکتری حرفه‌ای,,19
520,سطح یک علوم دینی تشیع,,18
521,دانشجوی کاردانی,,13
522,کاردانی,,14
601,دانشجوی دکتری تخصصی,,20
602,دکتری تخصصی,,22
603,دانشجوی فوق دکتری,,24
604,فوق دکتری,,22
605,خارج دوره‌ی اول,,18
606,خارج دوره‌ی دوم,,20
901,تحصیلات غیررسمی,,3
902,تحصیلات نامشخص,,3
903,تحصیلات اظهارنشده,,3
904,تحصیلات دانشگاهی بدون ذکر دوره,,14
905,علوم دینی تسنن,,12
906,علوم دینی سایر مذاهب,,12
907,علوم دینی سایر ادیان,,12
908,علوم دینی نامشخص,,12
