FoodType,SheetName,KCalories,Protein,VitaminA,Riboflavin,Fe,Calcium
Almonds,Almonds,5.79,0.21,0.01,0.001,0.002,1.1
Beans,Beans,3,0.1,0.02,0.0023,0.069,1.438
BiscuitsCake,BiscuitsCake,2.57,0.06,0,5e-05,0.002,0.04
Bologna,Bologna,2.47,0.15,0,0.00158,0.013,0.132
Bread,Bread,2.5,0.10125,0,0.00042,0.021,0.517
CannedMeat,CannedMeat,2.5,0.22,0,0.00158,0.013,0.132
Cheese,Cheese,2.5,0.333333333333333,1.2,0.002,0.001,4.9
Chicken,Chicken,2,0.22,0.74,0.0093,0.009,0.12
chickenbarbecue,chickenbarbecue,2.26,0.23,0.74,0.0093,0.009,0.12
Chickpeas,Chickpeas,3.64,0.19,0.01,0.001,0.002,1.1
Cookie,Cookie,5.02,0.03,0,5e-05,0.002,0.04
Cream,Cream,1.96,0.027,0.44,0.002,0.001,1.485
Curd,Curd,0.98,0.11,0.44,0.002,0.001,1.485
DriedFigs,DriedFigs,2.39,0.03,0.01,0.001,0.002,1.1
DriedPlums,DriedPlums,2.3,0.02,0.01,0.001,0.002,1.1
Egg,Egg,1.4,0.0882352941176471,1.65,0.0114,0.011,0.42
ExtraVegetables,ExtraVegetables,0.28,0.04,1.71,6e-04,0.004,0.414
Fish,Fish,1,0.22,0.3,0.004,0.009,0.15
Fruit,Fruit,0.5,0,0.42,0.00025,0.005,0.228
hamburger,hamburger,3.32,0.14,0,0.00158,0.013,0.132
Ketchup,Ketchup,1.12,0.01,0,0,0,0
MayonnaiseSauce,MayonnaiseSauce,3.9,0.01,0,0,0,0
Meat,Meat,2.5,0.225,0,0.00158,0.013,0.132
Milk,Milk,0.6,0.0321428571428571,0.44,0.002,0.001,1.485
Nuts,Nuts,6,0.2,0.01,0.001,0.002,1.1
Oil,Oil,8,0,0,0,0,0
Olives,Olives,1.3,0.01,1.71,6e-04,0.008,0.414
Onion,Onion,0.04,0.01,1.71,6e-04,0.008,0.414
Pickle,Pickle,0.01,0.003,0.42,0.00025,0.005,0.228
Potato,Potato,0.9,0.03,0.02,0.00029,0.004,0.072
Rice,Rice,3.56,0.09,0,0.00032,0.008,0.076
Sausage,Sausage,3.46,0.14,0,0.00158,0.013,0.132
Spaghetti,Spaghetti,3.6,0.0642857142857143,0,5e-04,0.015,0.27
Spices,Spices,2.51,0.01,1.71,6e-04,0.008,0.414
Sugar,Sugar,4,0.03,0,5e-05,0.002,0.04
Tea,Tea,0.01,0.001,1.71,6e-04,0.008,0.414
Vegetables,Vegetables,0.5,0.04,1.71,6e-04,0.008,0.414
Wheat,Wheat,3.4,0.13,0,0.00042,0.021,0.517
Yogurt,Yogurt,1.2,0.04,0.02,0.002,0.001,1.1
