Year,Table,StartCode,EndCode,HHID,Code,BuyingMethod,Hygiene_Exp,Method,measure
1363,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1364,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1365,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1366,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1367,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1368,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1369,P3S05,51318,51624,ADDRESS,COL1,COL3,COL6,COL4,COL5
1370,P3S05,51318,51624,ADDRESS,COL1,COL3,COL5,COL4,
1371,P3S05,51318,51624,ADDRESS,COL1,COL3,COL5,COL4,
1372,P3S05,51318,51624,ADDRESS,COL1,COL3,COL5,COL4,
1373,P3S05,51318,51624,ADDRESS,COL1,COL3,COL5,COL4,
1374,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1375,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1376,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1377,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1378,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1379,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1380,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1381,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1382,P3S05,51318,51624,ADDRESS,COL1,COL3,COL4,,
1383,P3S06,61116,61338,ADDRESS,COL1,COL3,COL4,,
1384,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1385,P3S06,61116,61338,ADDRESS,DYCOL01,DYCOL02,DYCOL03,,
1386,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1387,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1388,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1389,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1390,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1391,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1392,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1393,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1394,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1395,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1396,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1397,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1398,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
1399,P3S06,61116,61338,Address,DYCOL01,DYCOL02,DYCOL03,,
