Year,Region,Pop,Sample,Weight
1335,Urban,5876050,,
1336,Urban,6196716,,
1337,Urban,6531840,,
1338,Urban,6881821,,
1339,Urban,7247396,,
1340,Urban,7628985,,
1341,Urban,8027360,,
1342,Urban,8443321,,
1343,Urban,8877330,,
1344,Urban,9330222,,
1345,Urban,9799820,,
1346,Urban,10303832,,
1347,Urban,10827590,,
1348,Urban,11372801,,
1349,Urban,11939200,,
1350,Urban,12528150,,
1351,Urban,13140218,,
1352,Urban,13775971,,
1353,Urban,14436880,,
1354,Urban,15123105,,
1355,Urban,15843230,,
1356,Urban,16707879,,
1357,Urban,17615664,,
1358,Urban,18569129,,
1359,Urban,19570404,,
1360,Urban,20621675,,
1361,Urban,21724672,,
1362,Urban,22882710,,
1363,Urban,24098164,73892,326.126833757376
1364,Urban,25373998,70684,358.977958236659
1365,Urban,26700300,13788,1936.48825065274
1366,Urban,27711567,13984,1981.66239988558
1367,Urban,28757032,20590,1396.65041282176
1368,Urban,29836785,28136,1060.4487133921
1369,Urban,30952024,46930,659.535989772001
1370,Urban,32106275,47255,679.425986668078
1371,Urban,32974956,46095,715.369476082005
1372,Urban,33862199,33141,1021.76153405148
1373,Urban,34768256,60228,577.277279670585
1374,Urban,35693379,100785,354.153683583867
1375,Urban,36633550,52693,695.226121116657
1376,Urban,37680190,52096,723.28374539312
1377,Urban,38752272,39130,990.346843853821
1378,Urban,39848912,60658,656.944046951763
1379,Urban,40971722,55675,735.908792096992
1380,Urban,42119145,55178,763.332215738157
1381,Urban,43227600,66708,648.012232415902
1382,Urban,44360585,48180,920.726131174762
1383,Urban,45517770,49900,912.179759519038
1384,Urban,46699470,54278,860.375658646229
1385,Urban,48260000,57986,832.269858241645
1386,Urban,49288000,60662,812.502060598068
1387,Urban,50340000,77271,651.473385875684
1388,Urban,51416000,74398,691.09384660878
1389,Urban,52519000,72441,724.989991855441
1390,Urban,53647000,71461,750.717174402821
1391,Urban,54607000,69567,784.955510515043
1392,Urban,55502000,68058,815.510300038203
1393,Urban,56408000,67482,835.89697993539
1394,Urban,57327000,67177,853.372434017595
1395,Urban,58220000,66038,881.613616402677
1396,Urban,,,
1397,Urban,,,
1398,Urban,,,
1399,Urban,,,
1335,Rural,13078950,,
1336,Rural,13351284,,
1337,Rural,13628160,,
1338,Rural,13909179,,
1339,Rural,14194604,,
1340,Rural,14484015,,
1341,Rural,14777640,,
1342,Rural,15075679,,
1343,Rural,15377670,,
1344,Rural,15683778,,
1345,Rural,15989180,,
1346,Rural,16184168,,
1347,Rural,16377410,,
1348,Rural,16570199,,
1349,Rural,16760800,,
1350,Rural,16949850,,
1351,Rural,17136782,,
1352,Rural,17321029,,
1353,Rural,17503120,,
1354,Rural,17681895,,
1355,Rural,17865770,,
1356,Rural,18319121,,
1357,Rural,18780336,,
1358,Rural,19249871,,
1359,Rural,19727596,,
1360,Rural,20213325,,
1361,Rural,20706328,,
1362,Rural,21207290,,
1363,Rural,21715836,70169,309.479057703544
1364,Rural,22232002,74852,297.012798589216
1365,Rural,22744700,16758,1357.24430122926
1366,Rural,22949433,17347,1322.96264483772
1367,Rural,23150968,25138,920.955048134299
1368,Rural,23348215,35647,654.984009874604
1369,Rural,23540976,54789,429.666100859661
1370,Rural,23730725,55650,426.428122192273
1371,Rural,23683044,53936,439.095298131118
1372,Rural,23628801,33117,713.494610019023
1373,Rural,23567744,44146,533.859103882571
1374,Rural,23499621,92800,253.228674568965
1375,Rural,23421450,61055,383.612316763574
1376,Rural,23389810,59639,392.189842217341
1377,Rural,23350728,49905,467.903576795912
1378,Rural,23303088,79183,294.294078274377
1379,Rural,23247278,77033,301.7833655706
1380,Rural,23181855,75787,305.881681554884
1381,Rural,23072400,86406,267.023123394209
1382,Rural,22954415,59940,382.956539873206
1383,Rural,22827230,62874,363.063110347679
1384,Rural,22690530,66361,341.925679239312
1385,Rural,22236000,77284,287.718027017235
1386,Rural,22078000,72814,303.210920976735
1387,Rural,21926000,83979,261.089081794258
1388,Rural,21780000,76072,286.307708486697
1389,Rural,21639000,79850,270.995616781465
1390,Rural,21503000,79079,271.917955462259
1391,Rural,21430000,76496,280.145367078017
1392,Rural,21441000,72301,296.551914911274
1393,Rural,21448000,71551,299.758214420483
1394,Rural,21446000,70439,304.462016780477
1395,Rural,21438000,69514,308.398308254452
1396,Rural,,,
1397,Rural,,,
1398,Rural,,,
1399,Rural,,,
