Year,Table,StartCode,EndCode,HHID,Code,indiv,homemade
1363,P4S5,519,519,ADDRESS,COL01,,COL04
1364,P4S5,519,519,ADDRESS,COL01,,COL04
1365,P4S5,519,519,ADDRESS,COL01,,COL04
1366,P4S5,519,519,ADDRESS,COL01,,COL04
1367,P4S5,519,519,ADDRESS,COL01,,COL04
1368,P4S5,519,519,ADDRESS,COL01,,COL04
1369,P4S3,,,ADDRESS,,COL01,COL06
1370,P4S3,,,ADDRESS,,COL01,COL06
1371,P4S3,,,ADDRESS,,COL01,COL06
1372,P4S3,,,ADDRESS,,COL01,COL06
1373,P4S3,,,ADDRESS,,COL01,COL06
1374,P4S3,,,ADDRESS,,COL01,COL06
1375,P4S3,,,ADDRESS,,COL01,COL06
1376,P4S3,,,ADDRESS,,COL01,COL06
1377,P4S3,,,ADDRESS,,COL01,COL07
1378,P4S3,,,ADDRESS,,COL01,COL06
1379,P4S3,,,ADDRESS,,COL01,COL06
1380,P4S3,,,ADDRESS,,COL01,COL06
1381,P4S3,,,ADDRESS,,COL01,COL06
1382,P4S3,,,ADDRESS,,COL01,COL06
1383,P4S3,,,ADDRESS,,COL01,COL06
1384,P4S03,,,Address,,DYCOL01,DYCOL07
1385,P4S03,,,ADDRESS,,DYCOL01,DYCOL07
1386,P4S03,,,Address,,DYCOL01,DYCOL07
1387,P4S03,,,Address,,DYCOL01,DYCOL07
1388,P4S03,,,Address,,DYCOL01,DYCOL07
1389,P4S03,,,Address,,DYCOL01,DYCOL07
1390,P4S03,,,Address,,DYCOL01,DYCOL07
1391,P4S03,,,Address,,DYCOL01,DYCOL07
1392,P4S03,,,Address,,DYCOL01,DYCOL07
1393,P4S03,,,Address,,DYCOL01,DYCOL07
1394,P4S03,,,Address,,DYCOL01,DYCOL07
1395,P4S03,,,Address,,DYCOL01,DYCOL07
1396,P4S03,,,Address,,DYCOL01,DYCOL07
1397,P4S03,,,Address,,DYCOL01,DYCOL07
1398,P4S03,,,Address,,DYCOL01,DYCOL07
1399,P4S03,,,Address,,DYCOL01,DYCOL07
